HouseID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,GarageCars,Neighborhood,Price
56,4002,1,1.5,1981,2,Rural,565297.06
57,4356,2,1.0,2025,0,Downtown,750793.69
58,1446,2,3.0,1992,0,Downtown,237384.97
59,2868,3,2.5,1940,2,Rural,442742.51
60,3688,3,1.5,1946,3,Downtown,561611.13
61,3014,2,1.0,1937,2,Downtown,478017.12
62,2097,5,2.5,2019,2,Downtown,403192.12
63,3235,2,3.0,1934,3,Downtown,500201.25
64,1400,5,2.5,2001,0,Downtown,353428.96
65,3163,3,1.0,1953,3,Suburbs,483306.42
66,2861,1,4.0,1937,1,Downtown,408704.57
67,1041,2,4.0,1993,2,Suburbs,227050.38
68,2841,3,2.5,2020,2,Downtown,557027.53
69,3624,3,2.0,1959,2,Rural,564605.35
70,4217,3,2.5,1969,2,Urban,720354.59
71,3412,3,1.5,1952,1,Suburbs,541566.67
72,3745,3,1.5,1998,2,Downtown,652662.86
73,2163,3,4.0,1991,1,Rural,421917.08
74,2939,1,2.0,1938,3,Urban,408340.61
75,2190,2,1.0,2006,2,Suburbs,408471.5
76,3803,2,1.5,1991,1,Urban,610580.88
77,2278,4,4.0,2017,2,Rural,478660.74
78,4299,3,3.0,1954,2,Suburbs,712438.89
79,3356,5,4.0,2003,2,Urban,668103.81
80,1575,2,1.5,1963,2,Downtown,268671.41
81,834,4,1.5,1928,0,Suburbs,115431.95
82,3053,3,4.0,1978,2,Urban,523619.11
83,3952,2,1.0,1928,3,Rural,552986.78
84,2755,3,2.5,1991,1,Rural,463272.99
85,2385,3,1.5,1945,2,Suburbs,353647.41
86,4259,4,4.0,1931,1,Urban,686074.4
87,3873,2,4.0,2003,1,Suburbs,670948.72
88,1821,2,2.0,2004,2,Suburbs,337910.23
89,4261,3,2.5,1965,2,Urban,687809.1
90,3413,4,3.0,1931,1,Urban,550299.19
91,1929,2,1.0,1990,2,Downtown,347436.58
92,2300,1,3.0,2015,0,Urban,398910.85
93,1502,4,2.5,1972,1,Rural,323026.81
94,3249,2,2.5,2014,0,Suburbs,541016.85
95,3577,3,2.5,2004,1,Suburbs,626792.82
96,2379,4,3.0,1938,1,Rural,445002.21
97,961,3,2.5,1928,2,Urban,98030.3
98,1001,3,4.0,1997,2,Rural,230572.87
99,2781,2,3.0,2010,1,Rural,504193.55
100,1795,3,2.5,1965,2,Downtown,348270.38
101,3117,3,4.0,1943,2,Rural,526227.84
102,1615,2,2.0,1938,1,Suburbs,243089.32
103,4142,2,2.5,1941,3,Rural,671064.46
104,1255,5,3.0,2014,3,Suburbs,355499.83
105,4333,3,1.5,1968,1,Suburbs,664335.45
106,2075,2,2.5,2008,1,Suburbs,377260.27
107,1816,5,1.5,1978,3,Urban,365504.23
108,3143,5,4.0,1927,2,Downtown,595214.98
109,3567,3,2.0,2015,0,Suburbs,637901.76
110,1137,4,1.0,1966,2,Suburbs,214960.6
111,1678,2,2.0,2008,2,Urban,312801.86
112,1876,2,2.5,1951,2,Suburbs,251802.91
113,1591,3,1.5,2018,2,Rural,338965.71
114,3064,4,1.5,1956,2,Rural,522243.32
115,1563,4,3.0,1999,1,Downtown,368153.91
116,3035,3,1.5,1949,1,Suburbs,472548.77
117,1179,4,3.0,1932,2,Urban,229851.03
118,1292,4,4.0,1975,3,Rural,280966.54
119,3912,4,1.0,1944,1,Urban,587498.63
120,1980,3,2.5,2011,2,Urban,367443.59
121,2862,3,3.0,1958,2,Rural,434417.49
122,864,3,1.0,1928,1,Urban,149065.14
123,3368,2,1.5,2015,2,Rural,504527.94
124,2167,4,1.5,2002,2,Urban,459153.56
125,1952,5,1.0,1975,2,Rural,322896.83
126,2827,2,1.5,1942,2,Suburbs,456847.22
127,3495,2,4.0,1927,1,Downtown,522348.65
128,2295,3,4.0,1974,2,Rural,436675.83
129,3934,3,1.0,2004,1,Rural,628688.83
130,1962,5,3.0,2011,1,Downtown,469143.7
131,2322,2,3.0,1970,2,Rural,389592.57
132,3440,1,1.0,1988,0,Rural,547442.05
133,1191,3,3.0,1974,1,Urban,243951.2
134,2498,2,3.0,1985,2,Downtown,435724.0
135,1218,2,4.0,1969,1,Suburbs,252502.67
136,3136,3,3.0,1988,1,Rural,531781.9
137,1178,3,2.0,2013,2,Downtown,224292.72
138,2596,2,2.5,1932,2,Urban,359159.92
139,4361,3,1.5,2022,1,Suburbs,734721.06
140,3078,3,2.0,1992,2,Downtown,512284.0
141,3865,3,3.0,1940,1,Suburbs,562303.58
142,2888,2,4.0,1934,2,Suburbs,472423.53
143,3899,3,1.0,1952,2,Suburbs,570187.76
144,2982,5,3.0,2009,3,Rural,549691.87
145,1000,3,4.0,1951,2,Rural,208959.35
146,2663,4,2.5,2018,2,Urban,488047.11
147,1579,3,3.0,1953,2,Urban,286512.64
148,3777,2,1.0,1969,1,Downtown,625286.52
149,3904,3,4.0,2010,1,Urban,683323.56
150,3919,3,4.0,2020,2,Suburbs,676560.52
