StudentID,Gender,Race_Ethnicity,Parental_Education,Lunch,Test_Preparation,Math_Score,Reading_Score,Writing_Score
1045,Female,Group C,High School,Standard,Completed,65,62,45
1046,Female,Group B,High School,Free/Reduced,Completed,72,74,56
1047,Female,Group B,High School,Free/Reduced,Completed,82,53,88
1048,Male,Group D,Master's Degree,Free/Reduced,None,44,57,54
1049,Female,Group A,Master's Degree,Free/Reduced,None,64,90,76
1050,Female,Group C,High School,Standard,None,64,74,41
1051,Male,Group C,Master's Degree,Standard,None,49,64,99
1052,Female,Group D,Bachelor's Degree,Free/Reduced,None,73,80,63
1053,Male,Group C,Bachelor's Degree,Free/Reduced,Completed,77,87,69
1054,Female,Group A,Master's Degree,Free/Reduced,None,61,62,70
1055,Male,Group D,Master's Degree,Free/Reduced,None,96,63,77
1056,Female,Group A,High School,Free/Reduced,None,61,61,45
1057,Female,Group D,Some College,Standard,Completed,59,82,67
1058,Male,Group D,Master's Degree,Standard,None,58,82,58
1059,Male,Group B,Bachelor's Degree,Standard,None,53,88,42
1060,Male,Group A,High School,Standard,None,57,83,82
1061,Male,Group C,Master's Degree,Standard,Completed,44,46,62
1062,Male,Group C,Bachelor's Degree,Standard,None,63,72,71
1063,Male,Group A,Bachelor's Degree,Standard,Completed,66,54,70
1064,Male,Group C,Some College,Standard,Completed,31,61,62
1065,Male,Group C,High School,Standard,None,64,71,97
1066,Female,Group A,High School,Standard,None,66,80,67
1067,Female,Group D,Some College,Standard,Completed,73,56,44
1068,Male,Group A,Some College,Free/Reduced,None,84,36,61
1069,Female,Group D,High School,Standard,None,78,71,75
1070,Female,Group C,High School,Standard,Completed,56,100,75
1071,Female,Group C,Master's Degree,Standard,Completed,54,66,51
1072,Female,Group C,Master's Degree,Free/Reduced,Completed,74,69,81
1073,Male,Group B,Some College,Standard,Completed,57,93,41
1074,Female,Group D,Master's Degree,Free/Reduced,None,47,77,85
1075,Male,Group B,Bachelor's Degree,Standard,None,100,72,48
1076,Female,Group B,Master's Degree,Standard,Completed,61,75,64
1077,Female,Group A,Master's Degree,Standard,None,56,72,83
1078,Female,Group B,Bachelor's Degree,Standard,None,33,53,69
1079,Male,Group A,Some College,Free/Reduced,Completed,78,50,80
1080,Female,Group A,Bachelor's Degree,Free/Reduced,None,51,95,77
1081,Male,Group B,Master's Degree,Free/Reduced,None,66,71,87
1082,Female,Group D,Some College,Standard,None,80,70,83
1083,Male,Group D,Master's Degree,Standard,None,51,67,61
1084,Female,Group D,Bachelor's Degree,Free/Reduced,None,67,79,77
1085,Male,Group D,Bachelor's Degree,Standard,None,88,100,45
1086,Male,Group D,Master's Degree,Standard,None,29,76,67
1087,Female,Group B,High School,Standard,None,53,60,80
1088,Male,Group B,High School,Standard,Completed,52,67,70
1089,Female,Group C,Bachelor's Degree,Free/Reduced,None,63,83,74
1090,Female,Group D,Bachelor's Degree,Free/Reduced,Completed,65,60,64
1091,Female,Group B,High School,Free/Reduced,None,50,80,84
1092,Female,Group C,High School,Standard,None,56,36,66
1093,Female,Group D,Master's Degree,Standard,Completed,54,65,61
1094,Female,Group A,Master's Degree,Standard,None,60,77,81
1095,Female,Group C,High School,Standard,Completed,69,86,46
1096,Female,Group B,Master's Degree,Standard,None,79,57,75
1097,Female,Group A,Master's Degree,Free/Reduced,Completed,81,47,52
1098,Female,Group A,Some College,Free/Reduced,None,75,65,87
1099,Female,Group A,Master's Degree,Standard,Completed,52,53,64
1100,Male,Group C,Bachelor's Degree,Free/Reduced,None,65,66,70
1101,Male,Group B,Master's Degree,Free/Reduced,Completed,100,68,74
1102,Female,Group A,Master's Degree,Standard,None,81,50,39
1103,Female,Group D,High School,Free/Reduced,None,59,80,58
1104,Female,Group A,Bachelor's Degree,Standard,Completed,89,66,83
1105,Female,Group A,Master's Degree,Standard,None,60,84,81
1106,Female,Group C,Master's Degree,Standard,None,55,43,72
1107,Female,Group C,Some College,Free/Reduced,None,86,54,47
1108,Female,Group B,Master's Degree,Standard,None,46,76,76
1109,Female,Group D,Master's Degree,Standard,None,37,57,78
1110,Male,Group C,Some College,Standard,None,80,66,68
1111,Female,Group A,High School,Standard,Completed,66,69,86
1112,Male,Group B,Master's Degree,Free/Reduced,None,67,71,57
1113,Female,Group A,Some College,Free/Reduced,None,60,59,60
1114,Female,Group A,Bachelor's Degree,Standard,Completed,62,71,30
1115,Male,Group C,High School,Standard,Completed,59,58,81
1116,Female,Group B,Bachelor's Degree,Standard,None,56,78,72
1117,Male,Group D,Bachelor's Degree,Standard,None,60,67,42
1118,Female,Group D,Some College,Standard,None,59,71,41
1119,Female,Group C,Master's Degree,Standard,None,53,100,54
1120,Male,Group C,Some College,Standard,None,57,53,79
1121,Female,Group B,Some College,Free/Reduced,None,28,88,63
1122,Male,Group D,Some College,Free/Reduced,None,76,31,55
1123,Female,Group D,Some College,Standard,None,71,39,52
1124,Male,Group D,High School,Standard,Completed,64,51,52
1125,Male,Group A,Master's Degree,Free/Reduced,Completed,69,52,38
1126,Female,Group D,Bachelor's Degree,Standard,None,70,71,49
1127,Female,Group A,Bachelor's Degree,Free/Reduced,None,55,73,51
1128,Male,Group B,Master's Degree,Free/Reduced,None,58,65,78
1129,Female,Group A,Bachelor's Degree,Standard,Completed,73,66,65
1130,Female,Group B,Master's Degree,Standard,None,69,76,55
1131,Female,Group D,Bachelor's Degree,Free/Reduced,None,96,80,100
1132,Male,Group D,Some College,Standard,Completed,90,50,58
1133,Male,Group B,Bachelor's Degree,Standard,Completed,79,63,85
1134,Male,Group C,Master's Degree,Free/Reduced,Completed,54,68,92
1135,Male,Group B,Master's Degree,Standard,Completed,57,75,44
1136,Male,Group C,Master's Degree,Standard,None,50,58,69
1137,Male,Group A,Master's Degree,Free/Reduced,None,70,67,60
1138,Male,Group A,Master's Degree,Standard,Completed,24,69,59
1139,Male,Group A,High School,Standard,Completed,59,59,76
1140,Male,Group D,High School,Free/Reduced,None,61,58,58
1141,Female,Group A,Bachelor's Degree,Standard,None,43,70,60
1142,Male,Group C,Master's Degree,Free/Reduced,None,77,67,65
1143,Female,Group A,Bachelor's Degree,Free/Reduced,Completed,48,76,62
1144,Female,Group B,Master's Degree,Standard,Completed,70,54,50
1145,Female,Group B,Master's Degree,Standard,None,100,64,79
1146,Male,Group D,High School,Standard,None,41,65,83
1147,Male,Group B,High School,Standard,None,63,80,73
1148,Male,Group C,Some College,Standard,Completed,59,55,62
1149,Male,Group A,High School,Free/Reduced,Completed,56,72,57
1150,Female,Group D,Some College,Standard,Completed,77,72,57
